"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"Oct 2015","33","361.40 km","10.95 km","24.05 km","34:01:51 h:m:s","24,245","2,878 m","10.6 kph","5:39 /km","--","145 spm"
"Sep 2015","32","337.24 km","10.54 km","19.85 km","32:00:18 h:m:s","22,049","3,826 m","10.5 kph","5:42 /km","135 bpm","--"
"Aug 2015","36","309.27 km","8.59 km","17.05 km","30:07:48 h:m:s","17,453","4,930 m","10.3 kph","5:51 /km","144 bpm","--"
"Jul 2015","38","301.50 km","7.93 km","17.76 km","27:55:10 h:m:s","17,943","4,627 m","10.8 kph","5:33 /km","134 bpm","--"
"Jun 2015","32","311.14 km","9.72 km","23.01 km","29:27:16 h:m:s","15,912","5,523 m","10.6 kph","5:41 /km","145 bpm","--"
"May 2015","33","290.85 km","9.09 km","15.40 km","28:43:27 h:m:s","17,376","3,607 m","10.1 kph","5:56 /km","150 bpm","--"
"Apr 2015","37","316.32 km","8.55 km","18.60 km","32:57:29 h:m:s","19,088","6,732 m","9.6 kph","6:15 /km","148 bpm","--"
"Mar 2015","36","280.44 km","8.01 km","16.86 km","29:28:23 h:m:s","18,118","5,348 m","9.5 kph","6:18 /km","149 bpm","--"
"Feb 2015","34","268.13 km","8.38 km","16.17 km","24:27:44 h:m:s","15,917","3,663 m","11.0 kph","5:28 /km","150 bpm","--"
"Jan 2015","39","318.33 km","8.84 km","20.90 km","28:19:53 h:m:s","18,793","5,593 m","11.2 kph","5:20 /km","151 bpm","--"
"Dec 2014","33","260.18 km","8.13 km","20.01 km","25:25:06 h:m:s","17,864","4,106 m","10.2 kph","5:52 /km","139 bpm","--"
"Nov 2014","24","170.52 km","7.41 km","12.00 km","15:58:52 h:m:s","11,684","2,765 m","10.7 kph","5:37 /km","--","--"
"Oct 2014","22","152.89 km","6.95 km","19.14 km","14:38:43 h:m:s","10,420","2,739 m","10.4 kph","5:45 /km","--","--"
"Sep 2014","23","159.39 km","6.93 km","13.49 km","15:48:14 h:m:s","10,720","3,091 m","10.1 kph","5:57 /km","--","--"
"Aug 2014","20","96.85 km","4.84 km","9.45 km","12:44:19 h:m:s","6,473","1,994 m","7.6 kph","7:54 /km","--","--"
"Jul 2014","28","159.25 km","5.69 km","13.02 km","18:41:05 h:m:s","10,316","2,976 m","8.5 kph","7:02 /km","--","--"
"Jun 2014","17","82.41 km","4.85 km","18.92 km","8:20:58 h:m:s","5,155","1,751 m","9.9 kph","6:05 /km","--","--"
"May 2014","20","118.09 km","5.90 km","12.19 km","12:46:34 h:m:s","7,829","2,135 m","9.2 kph","6:29 /km","--","--"
"Apr 2014","37","245.82 km","6.83 km","13.59 km","24:25:37 h:m:s","16,320","4,816 m","10.1 kph","5:58 /km","--","--"
"Mar 2014","39","247.64 km","6.52 km","14.76 km","21:07:17 h:m:s","16,038","2,762 m","11.7 kph","5:07 /km","--","--"
"Feb 2014","31","261.35 km","9.33 km","18.26 km","22:11:46 h:m:s","17,371","3,257 m","11.8 kph","5:06 /km","--","--"
"Jan 2014","29","216.95 km","7.48 km","22.01 km","19:00:20 h:m:s","14,688","2,589 m","11.4 kph","5:15 /km","--","--"
"Jul 2013","41","175.57 km","4.28 km","16.01 km","16:35:49 h:m:s","11,543","2,559 m","10.6 kph","5:40 /km","--","--"
"Jun 2013","22","119.69 km","5.44 km","10.59 km","12:24:26 h:m:s","7,779","1,725 m","9.6 kph","6:13 /km","--","--"
"Summary","2,605","18,710.28 km","6.87 km","44.96 km","1889:29:59 h:m:s","1,208,842","259,004 m","9.9 kph","6:03 /km","138 bpm","148 spm"
