"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"08/13/2018","5","32.89 km","6.58 km","9.35 km","3:45:04 h:m:s","2,093","534 m","8.8 kph","6:51 /km","--","136 spm"
"08/06/2018","5","32.11 km","6.42 km","9.34 km","3:00:12 h:m:s","2,213","639 m","10.7 kph","5:37 /km","--","152 spm"
"07/30/2018","4","17.74 km","4.44 km","4.88 km","1:41:39 h:m:s","1,241","249 m","10.5 kph","5:44 /km","--","151 spm"
"07/23/2018","2","5.82 km","2.91 km","3.25 km","32:54 h:m:s","404","26 m","10.6 kph","5:39 /km","--","152 spm"
"07/16/2018","5","23.21 km","4.64 km","8.85 km","2:10:50 h:m:s","1,599","144 m","10.6 kph","5:38 /km","--","150 spm"
"07/09/2018","3","21.93 km","7.31 km","9.24 km","1:58:05 h:m:s","1,510","43 m","11.1 kph","5:23 /km","--","153 spm"
"07/02/2018","3","15.80 km","5.27 km","7.01 km","1:26:51 h:m:s","1,093","107 m","10.9 kph","5:30 /km","--","152 spm"
"06/25/2018","3","15.18 km","5.06 km","5.61 km","1:28:01 h:m:s","1,046","248 m","10.3 kph","5:48 /km","--","148 spm"
"06/18/2018","5","33.44 km","6.69 km","7.82 km","2:58:23 h:m:s","2,301","193 m","11.2 kph","5:20 /km","--","154 spm"
"06/11/2018","3","16.74 km","5.58 km","5.89 km","1:28:26 h:m:s","1,149","56 m","11.4 kph","5:17 /km","--","154 spm"
"06/04/2018","3","22.80 km","7.60 km","12.35 km","2:17:07 h:m:s","1,567","549 m","10.0 kph","6:01 /km","--","152 spm"
"05/28/2018","4","29.52 km","7.38 km","10.41 km","2:53:12 h:m:s","1,988","673 m","10.2 kph","5:52 /km","--","152 spm"
"05/21/2018","4","31.83 km","7.96 km","10.81 km","3:01:06 h:m:s","2,155","521 m","10.5 kph","5:41 /km","--","154 spm"
"05/14/2018","4","27.34 km","6.84 km","10.02 km","2:36:27 h:m:s","1,741","483 m","10.5 kph","5:43 /km","--","152 spm"
"05/07/2018","5","33.43 km","6.69 km","9.03 km","3:06:49 h:m:s","2,296","324 m","10.7 kph","5:35 /km","--","154 spm"
"04/30/2018","3","18.38 km","6.13 km","6.62 km","1:56:24 h:m:s","1,267","428 m","9.5 kph","6:20 /km","--","152 spm"
"04/09/2018","4","22.00 km","5.50 km","7.12 km","2:00:13 h:m:s","1,514","60 m","11.0 kph","5:28 /km","--","146 spm"
"01/01/2018","3","20.03 km","6.68 km","10.02 km","1:57:37 h:m:s","1,380","133 m","10.2 kph","5:52 /km","--","153 spm"
"12/25/2017","5","36.17 km","7.23 km","9.00 km","3:38:06 h:m:s","2,430","252 m","10.0 kph","6:02 /km","--","147 spm"
"12/18/2017","2","11.04 km","5.52 km","6.03 km","1:05:37 h:m:s","770","184 m","10.1 kph","5:57 /km","--","152 spm"
"12/11/2017","1","5.16 km","5.16 km","5.16 km","30:36 h:m:s","356","55 m","10.1 kph","5:56 /km","--","152 spm"
"12/04/2017","1","4.03 km","4.03 km","4.03 km","22:23 h:m:s","273","--","10.8 kph","5:33 /km","--","152 spm"
"11/27/2017","1","0.13 km","0.13 km","0.13 km","31:18 h:m:s","6","--","0.3 kph","3:57:57 /km","--","5 spm"
"11/20/2017","1","5.01 km","5.01 km","5.01 km","30:16 h:m:s","345","53 m","9.9 kph","6:02 /km","--","153 spm"
"10/16/2017","1","6.01 km","6.01 km","6.01 km","31:54 h:m:s","414","79 m","11.3 kph","5:19 /km","--","156 spm"
"10/09/2017","4","27.35 km","6.84 km","8.38 km","2:37:51 h:m:s","1,863","286 m","10.4 kph","5:46 /km","--","155 spm"
"10/02/2017","2","13.27 km","6.64 km","8.38 km","1:17:02 h:m:s","905","15 m","10.3 kph","5:48 /km","--","155 spm"
"09/25/2017","4","33.36 km","8.34 km","10.30 km","3:05:38 h:m:s","2,294","242 m","10.8 kph","5:34 /km","--","156 spm"
"09/18/2017","5","38.06 km","7.61 km","9.31 km","3:37:47 h:m:s","2,612","303 m","10.5 kph","5:43 /km","--","157 spm"
"09/11/2017","6","33.81 km","5.64 km","8.31 km","5:15:55 h:m:s","2,078","609 m","6.4 kph","9:21 /km","--","117 spm"
"09/04/2017","4","12.87 km","3.22 km","5.44 km","1:44:44 h:m:s","857","64 m","7.4 kph","8:08 /km","--","120 spm"
"08/28/2017","2","8.54 km","4.27 km","5.01 km","53:16 h:m:s","600","27 m","9.6 kph","6:14 /km","--","157 spm"
"07/17/2017","1","3.55 km","3.55 km","3.55 km","21:53 h:m:s","254","5 m","9.7 kph","6:10 /km","--","156 spm"
"06/12/2017","1","3.30 km","3.30 km","3.30 km","19:13 h:m:s","226","4 m","10.3 kph","5:49 /km","--","156 spm"
"05/15/2017","1","7.65 km","7.65 km","7.65 km","42:54 h:m:s","521","17 m","10.7 kph","5:36 /km","--","157 spm"
"05/08/2017","3","22.76 km","7.59 km","8.10 km","2:09:52 h:m:s","1,560","253 m","10.5 kph","5:42 /km","--","156 spm"
"05/01/2017","3","19.22 km","6.41 km","8.20 km","1:49:55 h:m:s","1,315","309 m","10.5 kph","5:43 /km","--","157 spm"
"04/24/2017","5","40.31 km","8.06 km","10.20 km","3:48:44 h:m:s","2,770","595 m","10.6 kph","5:41 /km","--","159 spm"
"04/17/2017","7","52.21 km","7.46 km","16.44 km","6:08:32 h:m:s","3,340","969 m","8.5 kph","7:04 /km","--","148 spm"
"04/10/2017","6","48.18 km","8.03 km","10.46 km","4:30:46 h:m:s","3,309","509 m","10.7 kph","5:37 /km","--","158 spm"
"04/03/2017","4","34.64 km","8.66 km","10.02 km","3:04:27 h:m:s","2,352","56 m","11.3 kph","5:19 /km","--","159 spm"
"03/27/2017","5","45.13 km","9.03 km","13.03 km","4:14:31 h:m:s","3,103","491 m","10.6 kph","5:38 /km","--","158 spm"
"03/20/2017","6","42.70 km","7.12 km","11.58 km","4:27:22 h:m:s","2,792","682 m","9.6 kph","6:16 /km","--","150 spm"
"03/13/2017","5","40.65 km","8.13 km","11.02 km","4:08:47 h:m:s","2,740","520 m","9.8 kph","6:07 /km","--","151 spm"
"03/06/2017","6","56.27 km","9.38 km","15.26 km","5:14:53 h:m:s","3,800","779 m","10.7 kph","5:36 /km","--","160 spm"
"02/27/2017","6","54.47 km","9.08 km","11.03 km","5:22:22 h:m:s","3,669","391 m","10.1 kph","5:55 /km","--","154 spm"
"02/20/2017","3","17.38 km","5.79 km","7.06 km","1:35:18 h:m:s","1,196","27 m","10.9 kph","5:29 /km","--","159 spm"
"02/13/2017","5","34.68 km","6.94 km","10.34 km","3:08:35 h:m:s","2,386","142 m","11.0 kph","5:26 /km","--","159 spm"
"02/06/2017","5","40.24 km","8.05 km","10.00 km","3:40:59 h:m:s","2,764","243 m","10.9 kph","5:29 /km","--","158 spm"
"01/30/2017","1","5.00 km","5.00 km","5.00 km","28:24 h:m:s","340","67 m","10.6 kph","5:41 /km","--","159 spm"
"01/09/2017","1","5.00 km","5.00 km","5.00 km","28:06 h:m:s","344","45 m","10.7 kph","5:37 /km","--","159 spm"
"01/02/2017","2","9.95 km","4.98 km","5.75 km","54:59 h:m:s","683","85 m","10.9 kph","5:31 /km","--","161 spm"
"12/26/2016","2","14.84 km","7.42 km","9.00 km","1:24:16 h:m:s","1,033","247 m","10.6 kph","5:41 /km","--","160 spm"
"12/19/2016","2","19.28 km","9.64 km","10.61 km","1:50:42 h:m:s","1,317","283 m","10.5 kph","5:44 /km","--","159 spm"
"12/12/2016","3","23.86 km","7.95 km","10.62 km","2:07:56 h:m:s","1,644","124 m","11.2 kph","5:22 /km","--","160 spm"
"12/05/2016","1","3.28 km","3.28 km","3.28 km","16:39 h:m:s","226","2 m","11.8 kph","5:04 /km","--","160 spm"
"11/28/2016","5","44.56 km","8.91 km","10.01 km","4:06:33 h:m:s","3,065","428 m","10.8 kph","5:32 /km","157 bpm","159 spm"
"11/21/2016","7","53.54 km","7.65 km","11.96 km","5:07:07 h:m:s","3,686","537 m","10.5 kph","5:44 /km","--","158 spm"
"11/14/2016","4","34.08 km","8.52 km","10.14 km","3:12:47 h:m:s","2,216","312 m","10.6 kph","5:39 /km","158 bpm","158 spm"
"11/07/2016","6","45.11 km","7.52 km","10.09 km","5:05:10 h:m:s","3,004","433 m","8.9 kph","6:46 /km","--","140 spm"
"10/31/2016","4","29.57 km","7.39 km","10.10 km","2:47:18 h:m:s","1,991","364 m","10.6 kph","5:39 /km","160 bpm","159 spm"
"10/24/2016","4","41.99 km","10.50 km","16.72 km","3:59:48 h:m:s","2,871","564 m","10.5 kph","5:43 /km","--","159 spm"
"10/17/2016","4","28.81 km","7.20 km","8.89 km","3:02:57 h:m:s","2,163","550 m","9.4 kph","6:21 /km","--","151 spm"
"10/10/2016","4","32.98 km","8.25 km","10.88 km","3:20:28 h:m:s","2,213","1,136 m","9.9 kph","6:05 /km","--","156 spm"
"10/03/2016","6","41.77 km","6.96 km","9.50 km","3:46:09 h:m:s","2,871","402 m","11.1 kph","5:25 /km","--","159 spm"
"09/19/2016","3","23.66 km","7.89 km","10.40 km","2:07:31 h:m:s","1,626","90 m","11.1 kph","5:23 /km","--","159 spm"
"09/12/2016","3","37.76 km","12.59 km","19.18 km","2:58:06 h:m:s","2,557","128 m","12.7 kph","4:43 /km","--","111 spm"
"09/05/2016","4","19.03 km","4.76 km","6.60 km","1:43:17 h:m:s","1,309","80 m","11.1 kph","5:26 /km","--","155 spm"
"08/29/2016","1","10.03 km","10.03 km","10.03 km","53:37 h:m:s","693","42 m","11.2 kph","5:21 /km","--","159 spm"
"08/22/2016","1","9.24 km","9.24 km","9.24 km","49:57 h:m:s","644","46 m","11.1 kph","5:25 /km","--","160 spm"
"08/15/2016","2","7.64 km","3.82 km","5.12 km","41:14 h:m:s","518","67 m","11.1 kph","5:24 /km","165 bpm","159 spm"
"08/08/2016","2","13.51 km","6.76 km","7.36 km","1:13:13 h:m:s","887","75 m","11.1 kph","5:25 /km","167 bpm","158 spm"
"08/01/2016","1","6.15 km","6.15 km","6.15 km","34:51 h:m:s","421","41 m","10.6 kph","5:40 /km","162 bpm","157 spm"
"07/25/2016","2","13.04 km","6.52 km","8.44 km","1:11:42 h:m:s","905","42 m","10.9 kph","5:30 /km","--","158 spm"
"07/18/2016","2","11.36 km","5.68 km","6.35 km","1:01:01 h:m:s","782","69 m","11.2 kph","5:22 /km","--","158 spm"
"07/11/2016","1","7.01 km","7.01 km","7.01 km","36:29 h:m:s","482","45 m","11.5 kph","5:12 /km","--","158 spm"
"07/04/2016","1","7.50 km","7.50 km","7.50 km","34:40 h:m:s","510","25 m","13.0 kph","4:37 /km","--","160 spm"
"06/27/2016","1","5.63 km","5.63 km","5.63 km","28:26 h:m:s","388","26 m","11.9 kph","5:03 /km","--","159 spm"
"06/20/2016","2","13.55 km","6.78 km","8.59 km","1:11:09 h:m:s","935","63 m","11.4 kph","5:15 /km","--","159 spm"
"06/13/2016","4","29.24 km","7.31 km","10.19 km","2:38:16 h:m:s","1,802","124 m","11.1 kph","5:25 /km","156 bpm","158 spm"
"06/06/2016","6","44.03 km","7.34 km","10.01 km","3:49:24 h:m:s","2,796","170 m","11.5 kph","5:13 /km","157 bpm","159 spm"
"05/30/2016","4","37.59 km","9.40 km","14.14 km","3:28:25 h:m:s","2,170","124 m","10.8 kph","5:33 /km","148 bpm","156 spm"
"05/23/2016","8","57.86 km","7.23 km","19.45 km","5:23:52 h:m:s","3,449","237 m","10.7 kph","5:36 /km","140 bpm","149 spm"
"05/16/2016","6","49.98 km","8.33 km","12.12 km","4:42:29 h:m:s","2,888","188 m","10.6 kph","5:39 /km","146 bpm","153 spm"
"05/09/2016","9","64.17 km","7.13 km","11.73 km","6:41:15 h:m:s","3,930","487 m","9.6 kph","6:15 /km","149 bpm","135 spm"
"05/02/2016","6","72.54 km","12.09 km","22.56 km","7:14:37 h:m:s","4,244","1,105 m","10.0 kph","5:59 /km","145 bpm","151 spm"
"04/25/2016","6","52.59 km","8.77 km","15.60 km","4:43:33 h:m:s","3,097","108 m","11.1 kph","5:23 /km","147 bpm","157 spm"
"04/18/2016","10","86.52 km","8.65 km","15.10 km","9:31:11 h:m:s","4,979","1,251 m","9.1 kph","6:36 /km","142 bpm","129 spm"
"04/11/2016","9","92.95 km","10.33 km","20.43 km","9:13:44 h:m:s","5,018","1,013 m","10.1 kph","5:57 /km","147 bpm","126 spm"
"04/04/2016","14","124.32 km","8.88 km","14.95 km","14:18:30 h:m:s","7,874","1,787 m","8.7 kph","6:54 /km","139 bpm","144 spm"
"03/28/2016","11","108.43 km","9.86 km","15.50 km","10:36:15 h:m:s","7,062","1,308 m","10.2 kph","5:52 /km","143 bpm","147 spm"
"03/21/2016","9","102.34 km","11.37 km","20.01 km","9:16:17 h:m:s","5,726","1,068 m","11.0 kph","5:26 /km","150 bpm","149 spm"
"03/14/2016","10","84.35 km","8.43 km","16.10 km","8:31:36 h:m:s","5,404","1,378 m","9.9 kph","6:04 /km","149 bpm","151 spm"
"03/07/2016","6","65.97 km","10.99 km","19.14 km","6:01:09 h:m:s","4,026","814 m","11.0 kph","5:28 /km","151 bpm","156 spm"
"02/29/2016","8","59.53 km","7.44 km","12.00 km","5:00:24 h:m:s","3,601","574 m","11.9 kph","5:03 /km","148 bpm","158 spm"
"02/22/2016","10","91.58 km","9.16 km","15.50 km","8:19:46 h:m:s","5,523","2,068 m","11.0 kph","5:27 /km","147 bpm","156 spm"
"02/15/2016","10","68.33 km","6.83 km","13.00 km","6:13:28 h:m:s","4,085","459 m","11.0 kph","5:28 /km","145 bpm","158 spm"
"02/08/2016","7","82.18 km","11.74 km","18.20 km","7:07:11 h:m:s","4,429","321 m","11.5 kph","5:12 /km","147 bpm","156 spm"
"02/01/2016","11","94.64 km","8.60 km","14.30 km","9:02:37 h:m:s","5,507","1,015 m","10.5 kph","5:44 /km","146 bpm","152 spm"
"01/25/2016","7","77.49 km","11.07 km","19.32 km","7:39:20 h:m:s","4,739","921 m","10.1 kph","5:56 /km","136 bpm","134 spm"
"01/18/2016","7","91.36 km","13.05 km","18.02 km","8:23:24 h:m:s","5,304","907 m","10.9 kph","5:31 /km","153 bpm","153 spm"
"01/11/2016","7","80.62 km","11.52 km","20.03 km","7:21:09 h:m:s","4,517","638 m","11.0 kph","5:28 /km","145 bpm","149 spm"
"01/04/2016","8","90.33 km","11.29 km","17.19 km","8:44:36 h:m:s","5,247","833 m","10.3 kph","5:48 /km","151 bpm","149 spm"
"12/28/2015","8","94.63 km","11.83 km","20.72 km","8:24:03 h:m:s","5,209","913 m","11.3 kph","5:20 /km","153 bpm","151 spm"
"12/21/2015","7","90.10 km","12.87 km","17.90 km","8:07:43 h:m:s","5,512","913 m","11.1 kph","5:25 /km","151 bpm","147 spm"
"12/14/2015","6","70.13 km","11.69 km","14.02 km","6:23:09 h:m:s","4,307","674 m","11.0 kph","5:28 /km","155 bpm","147 spm"
"12/07/2015","8","86.66 km","10.83 km","17.35 km","7:42:58 h:m:s","5,820","831 m","11.2 kph","5:21 /km","--","149 spm"
"11/30/2015","7","90.16 km","12.88 km","19.20 km","7:46:27 h:m:s","5,930","937 m","11.6 kph","5:10 /km","151 bpm","151 spm"
"11/23/2015","5","56.90 km","11.38 km","16.18 km","5:10:26 h:m:s","3,184","235 m","11.0 kph","5:27 /km","146 bpm","149 spm"
"11/16/2015","7","90.08 km","12.87 km","20.02 km","8:23:37 h:m:s","4,922","975 m","10.7 kph","5:35 /km","146 bpm","148 spm"
"11/09/2015","8","90.22 km","11.28 km","19.00 km","8:15:48 h:m:s","4,832","1,263 m","10.9 kph","5:30 /km","144 bpm","144 spm"
