"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"09/15/2014","5","30.56 km","6.11 km","9.00 km","2:57:20 h:m:s","2,060","728 m","10.3 kph","5:48 /km","--","--"
"09/08/2014","5","36.56 km","7.31 km","9.06 km","3:10:12 h:m:s","2,482","475 m","11.5 kph","5:12 /km","--","--"
"09/01/2014","7","47.38 km","6.77 km","13.49 km","5:38:57 h:m:s","3,076","1,050 m","8.4 kph","7:09 /km","--","--"
"08/25/2014","3","16.16 km","5.39 km","9.45 km","1:36:07 h:m:s","1,098","373 m","10.1 kph","5:57 /km","--","--"
"08/18/2014","5","20.71 km","4.14 km","7.11 km","1:53:35 h:m:s","1,429","202 m","10.9 kph","5:29 /km","--","--"
"08/11/2014","4","20.52 km","5.13 km","6.08 km","2:27:09 h:m:s","1,325","439 m","8.4 kph","7:10 /km","--","--"
"08/04/2014","8","39.46 km","4.93 km","8.02 km","6:47:28 h:m:s","2,621","980 m","5.8 kph","10:20 /km","--","--"
"07/28/2014","3","20.67 km","6.89 km","10.00 km","2:00:40 h:m:s","1,399","389 m","10.3 kph","5:50 /km","--","--"
"07/21/2014","2","4.22 km","2.11 km","3.04 km","30:43 h:m:s","270","49 m","8.2 kph","7:17 /km","--","--"
"07/14/2014","9","62.09 km","6.90 km","12.65 km","7:15:40 h:m:s","4,009","1,006 m","8.6 kph","7:01 /km","--","--"
"07/07/2014","5","25.01 km","5.00 km","13.02 km","2:06:23 h:m:s","1,689","424 m","11.9 kph","5:03 /km","--","--"
"06/30/2014","10","51.01 km","5.10 km","9.56 km","7:10:17 h:m:s","3,193","1,171 m","7.1 kph","8:26 /km","--","--"
"06/23/2014","4","28.33 km","7.08 km","18.92 km","1:44:04 h:m:s","1,678","327 m","16.3 kph","3:40 /km","--","--"
"06/16/2014","4","14.90 km","3.73 km","4.00 km","2:01:07 h:m:s","924","389 m","7.4 kph","8:08 /km","--","--"
"06/09/2014","5","20.14 km","4.03 km","8.65 km","2:29:04 h:m:s","1,293","548 m","8.1 kph","7:24 /km","--","--"
"06/02/2014","2","7.79 km","3.89 km","4.81 km","1:05:20 h:m:s","507","280 m","7.2 kph","8:23 /km","--","--"
"05/26/2014","3","17.67 km","5.89 km","7.50 km","1:43:26 h:m:s","1,180","413 m","10.3 kph","5:51 /km","--","--"
"05/19/2014","2","11.30 km","5.65 km","9.00 km","56:59 h:m:s","780","70 m","11.9 kph","5:02 /km","--","--"
"05/12/2014","5","28.11 km","5.62 km","10.11 km","2:49:13 h:m:s","1,915","401 m","10.0 kph","6:01 /km","--","--"
"05/05/2014","6","32.11 km","5.35 km","10.01 km","3:09:01 h:m:s","2,109","494 m","10.2 kph","5:53 /km","--","--"
"04/28/2014","11","61.22 km","5.57 km","12.19 km","7:59:00 h:m:s","3,941","1,456 m","7.7 kph","7:49 /km","--","--"
"04/21/2014","6","53.87 km","8.98 km","11.79 km","5:34:37 h:m:s","3,531","1,473 m","9.7 kph","6:13 /km","--","--"
"04/14/2014","8","54.60 km","6.82 km","13.59 km","4:52:31 h:m:s","3,660","914 m","11.2 kph","5:21 /km","--","--"
"04/07/2014","9","66.11 km","8.26 km","12.00 km","5:41:39 h:m:s","4,512","932 m","11.6 kph","5:10 /km","--","--"
"03/31/2014","10","61.51 km","6.15 km","7.95 km","6:39:09 h:m:s","4,041","1,224 m","9.2 kph","6:29 /km","--","--"
"03/24/2014","5","36.93 km","7.39 km","10.04 km","3:05:22 h:m:s","2,542","288 m","12.0 kph","5:01 /km","--","--"
"03/17/2014","10","57.06 km","5.71 km","12.09 km","4:24:02 h:m:s","3,360","477 m","13.0 kph","4:38 /km","--","--"
"03/10/2014","13","73.98 km","6.16 km","14.76 km","6:14:25 h:m:s","5,091","756 m","11.9 kph","5:04 /km","--","--"
"03/03/2014","8","57.45 km","7.18 km","10.06 km","5:01:46 h:m:s","3,556","808 m","11.4 kph","5:15 /km","--","--"
"02/24/2014","6","55.76 km","9.29 km","11.00 km","5:03:05 h:m:s","3,803","628 m","11.0 kph","5:26 /km","--","--"
"02/17/2014","9","87.43 km","10.93 km","18.26 km","7:36:24 h:m:s","6,035","1,511 m","11.5 kph","5:13 /km","--","--"
"02/10/2014","5","41.40 km","8.28 km","13.40 km","3:05:34 h:m:s","2,334","516 m","13.4 kph","4:29 /km","--","--"
"02/03/2014","11","70.89 km","7.88 km","12.21 km","6:03:56 h:m:s","4,781","674 m","11.7 kph","5:08 /km","--","--"
"01/27/2014","8","77.16 km","9.64 km","15.04 km","6:42:57 h:m:s","5,150","725 m","11.5 kph","5:13 /km","--","--"
"01/20/2014","10","101.05 km","10.11 km","22.01 km","8:53:43 h:m:s","7,022","1,262 m","11.4 kph","5:17 /km","--","--"
"01/13/2014","12","51.74 km","4.31 km","16.25 km","4:33:30 h:m:s","3,413","685 m","11.3 kph","5:17 /km","--","--"
"07/15/2013","14","50.86 km","3.63 km","10.10 km","4:28:50 h:m:s","3,415","498 m","11.4 kph","5:17 /km","--","--"
"07/08/2013","13","57.79 km","4.45 km","10.06 km","5:53:55 h:m:s","3,635","1,058 m","9.8 kph","6:07 /km","--","--"
"07/01/2013","14","66.92 km","4.78 km","16.01 km","6:13:04 h:m:s","4,493","1,003 m","10.8 kph","5:34 /km","--","--"
"06/24/2013","10","56.65 km","5.66 km","10.59 km","6:20:04 h:m:s","3,556","944 m","8.9 kph","6:43 /km","--","--"
"06/17/2013","12","63.04 km","5.25 km","10.26 km","6:04:23 h:m:s","4,223","781 m","10.4 kph","5:47 /km","--","--"
"Summary","2,603","18,701.82 km","7.02 km","44.96 km","1888:43:03 h:m:s","1,208,190","258,944 m","10.0 kph","6:00 /km","138 bpm","149 spm"
